term,definition
blepharomalacia,szemhéjlágyulás
blepharoplastica,szemhéjplasztika
blepharoptosis,szemhéjsüllyedés
blepharospasmus,szemhéjgörcs
blepharostenosis,szemhéjszűkület
blind intestine,vakbél
b-lymphocyti,B-fehérvérsejtek
bohemicus,cseh
bolus armena,örmény agyag
boraxatus,boraxot tartalmazó
borborygmus,bélkorgás
Borrelia,Borrelia
botanica,növénytan
Bothriocephalus latus,Gödrös fejű galandféreg
botulismus,bénulásos betegség
Brachi-,Kar
brachialgia,karfájdalom
brachialis,karral kapcsolatos
brachiocephalicus,felkar-feji
Brachium,"kar, felkar"
brachium conjuctivum,összekötő kar
brachium pontis,hídkar
brachy-,rövid-
brachycephalia,rövid fej
brachydactylia,rövidujjúság
brachymetropia,rövidlátás
bradikardia,lassú pulzus
brady-,lassú-
bradycardia,"lassú szívműködés, lassú pulzus"
bradykinesia,mozgás lassúsága
bradylexia,olvasás lassúsága
bradymenorrhoea,elhúzódó havi vérzés
bradypepsia,lassú emésztés
bradyphagia,kórosan lassú evés
bradyphrenia,lassú gondolkodási folyamat
bradypnoe,lassú légzés
bradypsychia,lelki és a motorikus reakciók kóros lassúsága
Brassica nigra,fekete mustár
breve,rövid
bronchadenitis,hörgőmirigy-gyulladás
bronchi,hörgők
bronchialis,hörgővel kapcsolatos
bronchiectasia,hörgőtágulat
bronchiolitis,bronchiolitis
bronchiolitis catarrhalis,hurutos hörgőcske-gyulladás
bronchiolus,hörgőcske
bronchiolus alveolaris,légzőág
bronchiolus terminalis,kis légcsőág
bronchitis,hörghurut
bronchitis allergica,allergiás hörghurut
bronchitis catarrhalis,váladékos hörghurut
bronchitis foetida,gennyes hörghurut
bronchitis necrotisans,elhalásos hörghurut
bronchitis obstructiva,légutat elzáró hörghurut
bronchitis ulcerosa,fekélyes hörghurut
bronchoadenitis,hörgőmirigy-gyulladás
bronchobiliaris,légutakal és epeutakkal kapcsolatos
bronchodilatancium,hörgőtágító
bronchodilatátor,hörgőtágító gyógyszer
bronchogen,hörgő eredetű
bronchopleuralis,hörgőhöz és mellhártyához tartozó
bronchopneumonia,légcső és tüdőgyulladás
bronchospazmus,hörgőgörcs
bronchospirometria,egyik tüdőfél vitálkapacitásának
bronchostenosis,hörgőszűkület
bronchotrachealis,hörgőkhöz és a légcsőhöz tartozó
bronchus,hörgő (a tüdőben lévő közepes méretű hörgő)
bronchus lobaris,lebenyi hörgő
bronchus principalis,főhörgő
bronchus principalis dexter,jobb főhörgő
Bronchus principalis dexter (sinister),Jobb (bal) főhörgő
bronchus principalis sinister,bal főhörgő
bruxizmus,fogcsikorgatás
bucca,arc
buccalis,Fogíven kívüli felszín (orcatájéki)
buccinator,Pofa(izom)
buccinatorius,archoz tartozó
buccula,"áll, toka"
bulbaris,Nyúlt velőhöz tartozó
bulbitis,bulbus urethrae gyulladása
bulboscopia,nyombéltükrözés
bulbourethralis,bulbus urethrae-hez tartozó
búlbus,"csomó, dudor, duzzanat"
bulbus cordis,artériás kónusz
bulbus medullae,Nyúlt velő
bulbus oculi,szemgolyó
bulbus olfactorius,szaglógumó
bulbus penis,a pénisz vastagabb része
bulbus pili,hajhagyma
bulbus rhachidicus,Nyúlt velő
bulbus spinalis,Nyúl tvelő
bulbus vestibuli vaginae,hosszúkás test
bulbus vestibuli vaginae,trigonum urogenitale alatt fekvő
bulia,akaraterő
bulimia,kóros falánkság
bulla,buborék
bullosa,hólyagos
burolith,bursakő
bursa,"nyálkatömlő, burok"
bursa articularis,ízülettel közlekedő nyálkatömlő
bursa mucosa,nyálkatömlő
bursa omentalis,cseplesztömlő
bursa ovarica,petefészektömlő
bursa synovialis,"nyálkatömlő, izomtömlő"
bursectomia,tömlő műtéti eltávolítása
bursitis,nyálkatömlő gyulladás
bursitis calcarea,tömlő gyulladása mészlerakódásokkal
bursitis pharyngealis,bursa pharyngea gyulladása
bursitis praepatellaris,térdkalács előtti tömlő gyulladása
bursolith,tömlőkő
bursolithos,bursakő
Butyrum,vaj
byssinosis,gyapotpor belégzése okozta tüdőártalom
cachemia,mérgezett vagy kóros vér
cachexia,alultápláltság
cachexia mercurialis,senyvesség higanymérgezés következtében
cachexia saturnina,ólommérgezésben kialakuló senyvesség
cadaver,holttest
cadens,süllyedő
caecalis,vakbéllel kapcsolatos
caecitas,vakság
caecitis,vakbélgyulladás
caecum,vakbél
caecus,vak
caesarotomia,császármetszés
calamus scriptorius,IV. agykamra fenekének tollhegyszerű benyomata
calcanealgia,sarokfájás
calcanei,sarokcsont
calcaneitis,sarokcsontgyulladás
calcaneodynia,Sarokfájdalom
calcaneus,sarokcsont
calcar,"homlok, sarkantyú"
calcarinus,sarkantyús
calcificatio,meszesedés
calcificatio cervicis uteri,méhnyakmeszesedés
calcificatio pulpae,fogelmeszesedés
calcificatio uteri,méhmeszesedés
calcificatum,szövet megkeményedése
calcinosis cutis,mészköszvény
calcinosis disseminata,testszerte kialakuló mészlerakódások
calcinosis universalis,testszerte kialakuló mészlerakódások
calcipenia,kalciumhiány
Calcitriolum,kalcitriol
calcium carbonicum nativum,természetes szénsavas mész
calcium sulfuricum,gipsz
calculus,"kő, fogkő"
calculus dentalis,fogkő
Calculus glandulae salivaris,Nyálmirigykő
calculus renis,vesekő
calculus salivaris,Nyálkő
Calendula officinalis,gyűrűvirág
caliculi gustatorii,ízbimbók
caligo,vakság
calix,kehely
callositas,"bőrkérgesedés, tyúkszem"
callosus,"heges, megkeményedett, megvastagodott"
callus,csontforradás
calor,meleg
calvaria,koponyaboltozat
calvus,kopasz
calvus pedis,tyúkszem
calx,sarok
calyx major,nagy vesekehely
calyx minor,kis vesekehely
calyx renalis,vesekehely
camera anterior,elülső kamra
camera bulbi,szemcsarnok
camera posterior,hátulsó kamra
camerae bulbi,szemcsarnokok
camphora,kámfor
canaliculus,kis csatorna
canalis,"árok, csatorna"
canalis analis,végbélcsatorna
canalis cervicis,nyakcsatorna
canalis cervicis uteri,méhnyakcsatorna
canalis digestorius,emésztőcsatorna
canalis femoralis,combcsatorna
canalis inguinalis,lágyékcsatorna
canalis nasolacrimalis,könnycsatorna
canalis nervi facialis,arcidegcsatorna
canalis radicis dentis,foggyökércsatorna
canalis spinalis,gerinccsatorna
cancer,"karcinóma, rák"
Cancer testicularis,hererák
"Cancer-, carcin-",Rák
"cancerogenicus, cancerogenes, carcinogenicus, carcinogenes",rákot előidéző
cancerophobia,beteges rákfélelem
"cancerosus, carcinomatosus",rákos
canities,őszülés
cannula,"cső, kanül"
canthus,szemzug
Capillar-,Hajszálér
capillaris,hajszálér
Capillus,"haj, szőrszál"
Capit-,Fej
capitalis,fejes
Capsula,Kis tok
capsula adiposa,zsíros tok
Capsula adiposa renis,vese zsíros tok
capsula articularis,ízületi tok
capsula gelatinosa,zselatintok
capsula interna,belső tok
capsula lentis,lencseburok
capsula lienalis,léptok
capsula renalis,vesetok
capsula renis,vesetok
capsula vaginalis,hüvelylabdacs
capsulitis,tokgyulladás
capsulotomia,kapszula bemetszése
caput,fej
caput articulare,ízületi fej
caput articularis,ízületi fej
caput costae,bordafej
caput distortum,ferde nyak
caput epididymidis,mellékhere feje
caput femoris,combcsont feje
caput itis,fej
caput mandibulae,ízesülő fej
caput musculi,izom fej
caput obstipum,ferde nyak
caput pancreaticae,hasnyálmirigy feje
caput radii,az orsócsont feje
caput spermii,spermium feje
caput ulnae,karcsont feje
caragaheen,gömbmoszat
carbo,szén
carboneum hydratum,szénhidrát
carbonisatio,elszenesedés
carcimoma mammae,emlőrák
carcino-,rák-
carcinogen,rákkeltő
carcinoma,rákos daganat
carcinoma basocellulare,alapsejtes rák
carcinoma cervicis uteri,méhnyakrák
Carcinoma cervicis uteri,nyakrák
carcinoma gastrica,gyomorrák
carcinoma hepatis,májrák
carcinoma laryngis,gégerák
carcinoma linguae,nyelvrák
carcinoma microcellularis,microcellularis carcinoma
carcinoma oesophagi,nyelőcsőrák
carcinoma ovarii,petefészekrák
carcinoma pancreatis,hasnyálmirigyrák
carcinoma planocellulare,laphámrák
carcinoma pulmonis,tüdőrák
carcinoma recti,végbélrák
carcinoma renale,veserák
carcinoma sigillocellulare,Pecsétgyűrűsejtes carcinoma
carcinoma testiculare,hererák
carcinoma vaginae,hüvelyrák
carcinoma ventriculi,gyomorrák
carcinomatosis,elrákosodás
carcinomatosus,rákos
cardia,gyomorszáj
cardialgia,szívfájdalom
cardialis,szívvel kapcsolatos
cardio-,szív-
cardiokele,szívsérv
cardiomegalia,szívmegnagyobbodás
cardiomyopathia,szívizombetegség
cardiopulmonalis,szívmasszázsos
cardiospasmus,gyomorszáj-görcs
cardiovascular disease,keringési megbetegedés
cardiovascularis,szív-ér-keringési
cardioversio,szívritmusvisszaállítás
carditis,szívgyulladás
caries,fogszuvasodás
caro,"bél, hús, puha állomány"
caroticus,nyaki verőérrel kapcsolatos
carotinaemia,karotinémia
carotis idis,fejverőér
carp-,kéztő
carpalgia,kéztőízületi fájdalom
carpalis,kéztőcsonti
carpinus,gyertyánfa
carpus,"csukló, kéztő"
cartilage,porc
cartilagines auricuklares,fülporcok
cartilagines laryngeales,hörgőporcok
cartilagineus,porcos
cartilago,porc
cartilago articularis,izületi porc
cartilago costalis,bordaporc
cartilago cricoidea,gyűrűporc
cartilago elastica,hajlékony porc
cartilago epiglottica,gégefedőporc
cartilago hyalinea,hyalin porc
cartilago laryngis,gégeporc
cartilago thyroidea,pajzsmirigy porc
caruncula,"kis húsos kidudorodás, kinövés"
caryon,"mag, sejt, sejtmag"
caryophyllii,szegfüszeg
cascarilla,kaskarillakéreg
castratio,herék/petefészkek eltávolítása
castratus,kiherélt
casuistica,esetleírás
casus acutus,sürgős eset
cataplasma,borogatás
cataracta,szürke hályog
cataracta senilis,Öregkori szürkehályog (Cataracta senilis)
catarrhalis,hurutos
catarrhus,hurut
catechu nigrum,fekete pálmabokor
catechu pallidum,halvány pálma
catheter,katéter
cauda,"hímvessző, farok"
cauda pancreaticae,hasnyálmirigy farka
cauda spermii,sperma farka
causa,ok
Cav-,"Üreg, mélyedés"
caverna,üreg
cavernosus,barlangos
Cavitas,Üreg
cavitas articularis,ízületi árok
cavitas nasalis,orrüreg
cavitas oris,szájüreg
cavitas pelvis,medenceüreg
cavitas peritonealis,peritoneális üreg
cavitas pleuralis,mellhártyaüreg
cavitas thoracis,mellkasüreg
cavitas uteri,méhüreg
cavum,üreg
cavum abdominis,hasüreg
cavum articulare,ízületi üreg
cavum folliculli,tüszőüreg
cavum nasi,orrüreg
cavum oris,szájüreg
cavum pelvis,medenceüreg
cavum pericardii,szívburok ürege
cavum pleurae,mellhártya ürege
cavum psalterii,hatodik kamra
cavum thoracis,mellkasüreg
cavum tympani,dobüreg
cavum vergae,hatodik kamra
cavus,"homorú, üreges"
cecum,vakbél
cefalo-,fej-
celer,gyors
cella,sejt
"cella cancri, cellula cancerosa",ráksejt
cellula,sejt
cellulae antigenum praesentens,antigénprezentáló sejt
cellulae caedentes,gyilkolósejtek
cellulae caedentes naturales,természetes gyilkolósejtek
cellulae caliciformes,nyálkasejtek
cellulae chromaffinae,kromaffin sejt
cellulae cornuum anteriorum,elülső szarvak sejtjei
cellulae erythroideae,vörös sejtek
cellulae giganteae,óriássejtek
cellulae giganteae Langhansi,Langhans-sejtek
cellulae insulinum secernentes,inzulint kibocsájtó sejtek
cellulae Kupfferi,Kupffer sejtek
cellulae Langerhansi,Langerhans sejtek
cellulae Leydigi,Leydig-sejtek
cellulae medullae ossium,csontvelő sejtek
cellulae mesangiales,mesangialis sejtek
cellulae musculares,izomsejtek
cellulae pilosae,hajsejtek
cellulae plasmaticae,plazmasejtek
cellulae pocilliformes,nyálkasejtek
cellulae progenitores,törzs sejtek
cellulae progenitores erythroideae,vörös őssejtek
cellulae progenitores tumorosae,daganat őssejtek
cellulae pyramidales,piramis-sejtek
cellulae sanguinis,vérsejtek
cellulae Schwanni,Schwann-sejtek
cellulae Sertoli,Sertoli-sejtek
cellulae spumosae,habsejtek
cellulae staminis haemopoeticae,vérképző őssejtek
cellulae stromatis,stroma sejt
cellularis,sejtes
cementum,fogcement
"Cementum, substantia ossea dentis",Cement
Cena,vacsora
center,izomhas
centralis,központi
centriolum,centriólum
centripetalis,középpont felé irányuló
centro-lateralis,középső-oldalsó
centrum,közép
centrum respiratorium,légzési központ
Cephal-,Fej
cephalalgia,Fejfájás
cephalea,Fejfájás
cephalhaematoma,feji vérömleny
cephalicus,feji
cephalo-,fejhez tartozó
Cer-,Viasz
cerebellaris,kisagyi
cerebr-,agyvelő
cerebro-,aggyal kapcsolatos
cerebrum,agy
cerumen,fülzsírdugó
cervic-,nyak
cervicalis,a fognyak felé mutató irány
cervicalisatio,nyakasodás
cervicitis,méhnyakgyulladás
cervicitis chronica,krónikus méhnyakgyulladás
cervicobrachialis,nyaki-kari
cervix,"fognyak, méhnyak"
cervix uteri,méhnyak
cessatio,megszűnés
cestoda,bélgiliszta
cetaceum,cetfaggyú
cevicothoracicus,nyaki-mellkasi
characteropathia,kóros jellemtelenség
cheilitis,ajakgyulladás
cheilitis glandularis apostematosa,Baelz-szindróma
cheilo-,ajak-
cheilognathopalatoschisis,és szájpadhasadékkal
cheilognathoschisis,nyúlajak állcsonthasadékkal
cheiloschisis,"ajakhasadék, nyúlajak"
cheiloschisis /labium leporinum,nyúlajak
chiasma,kereszteződés
chiasma opticum,látóideg-kereszteződés
chimera,rémlátomás
chiragra,kézköszvény
chloasma,májfolt
chloralum hydricum,chlorahydrat
chloratus,klóros
chloroformium,hangyhalvag
chloropia,zöldszín-látás
choana,tölcsér
cholangioma,epevezetékdaganat
cholangitis,epeútgyulladás
chole,epe
cholecalciferol,D3-vitamin
cholecysta,cholecysta
cholecystectomia,epehólyag eltávolítás
cholecystitis,epehólyag-gyulladás
cholecystolithiasis,epekövek
cholecystopathia,epehólyag-bántalom
choledocholithiasis,epevezeték-kövesség
cholédochus,közös epecsatorna
cholelithiasis,epekövesség
cholelithos,epekő
cholelithotripsia,epekőzúzás
cholepathia,epebaj
cholepathia,epebetegség
cholestasis,epepangás
cholesterolaemia,koleszterinvérűség
Chondr-,Porc
chondralis,porchoz tartozó
chondritis,porcgyulladás
chondro-,porccal kapcsolatos
chondroclast,porcfaló sejt
chondrocyti,porcsejtek
chondrodystrophia fetalis,a porcképződés hiánya (achondroplasia)
chondroma,jóindulatú porcdaganat
chondromalacia patellae,futó térd
chondropathia,porckárosodás
chorda,szalag
chorda dorsalis,gerinchúr
chorda tendinea,ínhúr
chorda tympani,chorda tympani
chorda umbilicalis,köldökzsinór
chordae tendineae,ínhúrok
chordoma,nem rosszindulatú porcdaganat
chorea minor,reumatikus chorea
chorion,magzatburok
chorion frondosum,bolyhos belső magzatburok
choroidea,érhártya (a szemben)
chroma,szín
chromomycosis,mohos láb
chronicus,"idült, krónikus"
chylomicronaemia,zsíranyagcsere-zavar
chylothorax,nyirokmell
chymus,"bélsár, vékonybéltartalom"
cianózis,oxigénhiányos állapotban a bőr és a nyálkahártyák sajátos szürkéskék színe
Cibus,táplálék
cicatrisatio,sebhegedés
cicatrix,heg
cicatrix mammae,emlőheg
cilia,csilló
cilia,szempilla
ciliaris,"bolyhos, szempillához tartozó"
cingulum,csípőszorító
cinnabaris factitia,mesterséges cinober
circulatio,keringés
circuls,kör
circulus arteriosus cerebri,Willis-kör
circulus arteriosus Willisi,Willis-kör
circulus Willisii,Willis-kör
circum,körül
circumcisio,körülmetélés
circumductio,körmozgás
circumferentia,kerület
circumflexus,kerek
circumscriptus,körülhatárolt
cirrhosis,zsugorodás
cirrhosis hepatis,májzsugor
cirrhoticus,zsugorodásos
cito,gyors
claering,tisztítás
Clarus,áttetsző
classificatio,osztályozás
claudicatio,bicegés
claudicatio intermittens,időszakos sántítás
claustrophobia,claustrofóbia
claustrum,zár
clausus,zárt
clavicula,kulcscsont
clavus pedis,tyúkszem
cleido-,kulcscsont-
cleptomania,lopási hajlam
climax,változás kora
clinoideus,hajlított
clitoris,csikló
cloaca,kloáka
clonus,klónus
clysma,beöntés
CM,holnap reggel
coagulatus,megalvadt (vér)
coagulopathia,véralvadási zavar
coagulum,véralvadék
coaptatio,összeillesztés
coarctatio,szűkület
coarctatio aortae,Coarctatio aortae
coccus,baktériumok
coccygeus,Fark(csont)i
cochlea,"csiga,  a középfülben elhelyezkedő hallószerv"
cochlearis,csigajárattal kapcsolatos
Coeliacus,A hasüreghez tartozó
cogitatio,gondolkodás
coitus,"nemi érintkezés, közösülés"
coitus per anus,végbélnyílásban végzett közösülés
"Col(i)-, colon-",Vastagbél
Colaturas,meg fog húzódni
colchicinum,kikiricsal
colectomia,vastagbélkimetszés
coli,vastagbéllel kapcsolatos
colica,hasgörcs
colica abdominalis,hasi fájdalom
colica renis,vesekőgörcs
colitis,vastagbélgyulladás
colitis gravis,súlyos vastagbélgyulladás
colitis ulcerosa,fekélyes vastagbélgyulladás
collapsus,ájulás
collateralis,oldalt
colliculus superior,felsőikertest
colliquatio,elfolyósodás
Collum,fognyak
collum chirurgicum,sebészeti nyak
collum costae,bordanyak
collum dentis,fognyak
collum femoris,combnyak
collum radii,orsócsont nyaka
coloboma,hasadékképződés
colocynthis,sártök
colon,vastagbél
colon ascendens,felszálló vastagbél
colon descendens,leszálló vastagbél
"Colon Irritable, IBS",irritábilis bél szindróma
colon sigmoideum,szigmabél
colon transversum,harántvastagbél
Colon/intestinum crassum,Vastagbél
colonographia,vastagbélábrázolás
colophonium,hegedűgyánta
color,szín
colorectalis,vastag- és végbéli
colostrum,előtej (az anyatej termelődésének beindulása előtt képződő folyadék)
colpitis,hüvelygyulladás
colpo-,hüvelyhez tartozó
colpoptosis,hüvelyelőreesés
colposacrofixatio,hüvely keresztcsonthoz rögzítése
colposcopia,hüvelytükrözés
Columna,Oszlop
columna vertebralis,gerincoszlop
columnae renales,Bertini-oszlopok
collyrium,szemvíz
collyrium adstringens luteum,összehúzó sárga szemvíz
coma hepaticum,májkóma
comatosus,"eszméletlen, kómában van"
combustio,égés
comissura,érintkezés
comitans,kísérő
commodus,kényelmes
commotio,rázkódás
commotio cerebri,agyrázkódás
commotio cordis,szívrázkódás
commune,kommunális
communicans,csatlakozó
communis,közös
compactus,tömör
completus,befejezett
complexus,összefoglaló
complexus stimulans cordis,szív impulzusokat vezető rendszere
complicatio,komplikáció
componentes dentales,fog összetevők
compositus,összetett
compressio,tömörítés
compressio cerebri,nyomás az agyra
compressio spinalis,nyomás a gerincvelőre
"compressum, tabletta",tabletta
comprimatum,pirula
"con-, com-","syn-, sym-"
conamen,öngyilkossági kísérlet
conarium,tobozmirigy
concavus,homorú
concavus,kivájt
concentratio,koncentráció
concentratissime,legtöményebben
concentricus,egyesített
conceptio,"fogamzás, megtermékenyítés"
concha,"héj, kagyló"
concha auriculae,fülkagyló
concha nasalis,orrkagyló
concha nasalis inferior,alsó orrkagyló
concha nasalis medius,középső orrkagyló
concha nasalis superior,felső orrkagyló
concha nasalis superior et media,felső és középső orrkagyló
conchae nasalis,orrkagylók
concisus,összevágott
concomitans,együttjáró
concomitans,kísérő
conditio,állam
condyloma acuminata,genitális szemölcs
condylus,"csontbütyök, csontízületvég"
confusio,"zavar, zavarodottság, zavartság"
confusus,zavart
congelatio,fagyás
congenitális,"születéskor meglévő, veleszületett"
congenitus,"születéskor meglévő, veleszületett"
congestio,vértolulás
conglomeratum,halmaz
coni retinae,retinacsapok
coniosis,porártalom
conisatio,méhnyakműtét
coniugo,összekötni
coniunctivitis gonorrhoealis,kankós kötőhártyagyulladás
conjunctio,összenövés
conjunctiva,a szem fehérjét és a szemhéjak belső felszínét borító nyálkahártya-kötőhártya
conjunctivalis,kötőhártyával kapcsolatos
conjunctivitis,kötőhártya-gyulladás
conjunctivitis virosa,Vírusos kötőhártyagyulladás
connectivus,becsatlakoztató
connexus,összekötött
conoideus,kúpalakú
conquassatio,szétzúzás
conservo,megőrizni
consilium,orvosi tanácskozás
consolidatio,megszilárdulás
conspicio,nézni
Constipatio,Székrekedés
constitutio,alkat
constrictor,összenyomó
consumptio,megemésztés
consumptio albumini,fehérje-felvétel
contagiosus,fertőző
contarctilis,összehúzódásra képes
contenta,tartalom
contentus gastrointestinalis,emésztőrendszer tartalma
continentia,visszatartás
continentia urinae,vizelettartás
contortus,"csavarodott, kifelé fordított, megcsavart"
contra,"ellen, szemben"
contracisio,metszés visszafelé
contractio,összehúzás
contraindicatio,ellenjavallat
contralateralis,másik oldali
contusio,zúzódás
contusio cerebry,agyzúzódás
contusio thoracis,mellkaszúzódás
contusus,összemorzsolt
cónus,kúp
convergentia,közelítés egy pont felé
convex,domború
convexitas,domborulat
convolutus,összetekeredett
Convulsio,görcs
convulsivus,"görcsrohamos, tángatódzó"
copro-,bélsár-
coprostasis,székrekedés
cópula,"bélgiliszta, ínszalag, pólya, tartószalag"
Cor cordis,Szív
cor fetale,magzatszív
cor pendulum,cseppszív
cor triatriatum,Hárompitvarú szív
coracoideus,hollócsőrszerű
cordis,szívvel kapcsolatos
cornea,a szem szaruhártyája
corniculum,szarvacska
cornix,varjú
cornu anterius,gerincvelő szürkeállományának elülső szarva
cornu laterale,gerincvelő szürkeállományának oldalsó szarva
cornu posterius,gerincvelő szürkeállományának hátulsó szarva
corona,koszorú
corona dentis,fogkorona
corona radiata,petehám
coronalis,koszorúhoz tartozó
coronaria,koszorúsér
Coronarius,Koszorús (sutura coronalis)
corpus,test
corpus adiposum,kövér test
corpus albicans,heges test
corpus alienum,idegentest
corpus amygdaloideum,mandula
corpus callosum,kérgestest
corpus cavernosum penis,penis barlangostest
corpus costae,borda teste
corpus geniculatum,térdestest
corpus geniculatum laterale,külső térdestest
corpus geniculatum mediale,belső térdestest
corpus geniculatum mediale,medialis térdestest
corpus haemorrhagicum,véres test
corpus humani,emberi test
corpus humeri,felkarcsont teste
corpus linguae,nyelvtest
corpus mandibulae,állkapocs teste
corpus maxillae,felső állkapocs teste
Corpus oris,test
corpus pancreaticae,hasnyálmirigy teste
corpus penis,pénisztest
corpus pineale,tobozmirigy
corpus radii,orsócsont teste
corpus restiforme,kötélképű test
corpus sphenoidale,ékcsont teste
corpus spongiosum penis,barlangos test
corpus sterni,szegycsont teste
corpus striatum,csíkolt test
corpus uteri,méhtest
corpus ventriculi,gyomortest
corpus vertebrae,csigolyatest
corpus vesicae,húgyhólyag teste
corpus vitreum,üvegtest
corpuscula fungiformes,gomba testek
corpuscula Lewi,Lewy testek
corpuscula Pacini,Pacini testecskék
corpuscula para-aortica,aorta melletti testek
corpusculum,testecske
corpusculum renale,Malpighi-test
corrosivus,maró
corrugator,összeráncoló
cortex,kéreg
cortex auditoria,hallókéreg
cortex cerebelli,kisagy kérge
cortex cerebri,agykéreg
cortex cingulatus,övkéreg
cortex lentis,lencsekéreg
cortex renis,vesekéreg
cortex suprarenalis,mellékvesekéreg
cortex visualis,látókéreg
Cortic-,Kéreg
cortical,agykérgi
corticalis,agykérgi
corticosteroid,kortikoszteroid
cortisolum,kortizol
coryza,orrfolyás
Cost-,Borda
costa,borda
costa cervicalis,Nyaki borda
costa fluctuante,lengőborda
costa spuria,álborda
costae,bordák
costae fluctuantes,repülőbordák
costae spuriae,álbordák
costae verae,valódi bordák
costalis,bordai
costovertebralis,bordákkal és csigolyákkal kapcsolatos
Coup,agyvérzés
Coxa,csípő
coxarthrosis,csípőízületi artrózis
coxitis,a csípőizület gyulladása
crampus,izom görcs
Crani-,Koponya
cranialis,feji
cranio-,koponya-
craniocerebralis,koponyai-agyi
craniopunctura,agycsapolás
craniosacralis,koponyával és keresztcsonttal kapcsolatos
craniospinalis,craniospinális
craniostenosis,koponyaszűkület
craniotomia,koponyaműtét
cranium,koponya
cranium cerebrale,agykoponya
cranium viscerale,arckoponya
Cras mane,holnap reggel
crassus,"vastag, vaskos,kövér"
cremaster,függesztő
crematio,égetése
cremor,krém
crena,rés
crena ani,farpofák közötti hasadék
crenata,Csipkézett
crepitatio,"recsegés, ropogás"
cribriformis,szitaszerű
cribrum,szita
Crico-,Gyűrű
cricoideus,gyűrű szerű
cricotracheotomia,gyűrűporc átvágásával
crinis,szőrszál
crinis capitis,haj
crisis thyreotoxica,tireotoxikus krízis
Crista,Taréj
crista iliaca,csípőlapát felső része
cruciatus,keresztezett
Cruor,vér
cruralis,"lábszárral kapcsolatos, szára valaminek"
crus,szár
crus cerebri,agyszár
crus glandis clitoridis,csiklófék
crus pedis,"comb, lábszár, nyél, szár"
crusta,heg
crux,"kereszt, szenvedés"
cryo-,"fagy-, hidegre vonatkozó"
cryoconisatio,fagyasztásos méhnyakrészeltávolítás
cryotherapia,gyógyfagyasztás
crypta,csőszerű bemélyedés
cryptorchismus,rejtettheréjűség
CT,"computer tomográfia, képalkotó diagnosztikai eljárás"
cubitus,könyök
cuboideus,köb alakú
culicosis,szúnyogcsípés
cum acido salicylico,szalicilsavas
cumulatio,felhalmozódás
cumulus oophorus,petedomb
cuneiformis,ék alakú
cuneus,ék
cupula pleurae,mellhártya felső része
cura cum antibiotico,antibiotikumos kezelés
cura rerum ad valetudinem pertinentum,egészségügyi ellátás
curabilis,gyógyítható
curatus,begyógyult
curettage,kaparás
"curtatio unguis, resectio unguis",körömvágás
curvatura,görbület
curvatura ventriculi major,gyomor nagygörbülete
curvatura ventriculi minor,gyomor kisgörbülete
cuspidalis,csúcsos
cuspis,valaminek a hegye
cutan,bőrrel kapcsolatos
cutaneus,bőrhöz tartozó
cuticula,felhám
cuticula dentis,zománchártya
cutis,bőr
cutis anserina,libabőr
cutis marmorata,márvány bőr
cyan,kék
cyanosis,kékkór
cyanoticus,szederjes
cylinder,henger
cysta,"hólyag, ciszta"
cysta hepatis,máj ciszta
cysta ovarii,petefészek-ciszta
cysta renis,vesetömlő
cysta renis l.d.,jobb oldali veseciszta
cysta renis l.s.,bal oldali veseciszta
cysta septi pellucidi,septum pellucidum ciszta
cystae,ciszta
cystae hepatis,májciszták
cystae renis,vese ciszták
cystectomia,hólyagkimetszés
cystis,tömlő
cystitis,hólyagfertőzés
cystitis chronica,krónikus húgyhólyaggyulladás
cystitis recidivans,viszatérő húgyhólyaggyulladás
cysto,hólyag
cystocele,húgyhólyagsérv
cystoides,cisztára hasonlító
cystolithiasis,húgyhólyagkövek jelenléte
cystopyelitis,húgyhólyag és a vesemedence gyulladás
cystoscopia,sejtvizsgálat
cystosus,hólyagos
cystotomia,húgyhólyagműtét
Cyt-,Sejt
cyta,Sejt
cyto-,"sejt-, sejttel kapcsolatos"
cytolemma,sejtmembrán
cytologia,sejttan
cytolysis,"sejtoldódás, sejtpusztulás"
cytopenia,alacsony sejtszám
cytoplasma,sejttest
cytos,sejt
cytosol,sejtoldat
cytostaticum,sejtosztódást gátló szer
cytostaticus,sejtszaporodást gátló
Dacarbazinum,dakarbazin
dacry-,könny-
dacryocystis,könnytömlő
dacryocystitis,könnytömlőgyulladás
dacryon,könny
dactylus,számjegy
dactylus,ujj
daktilogram,ujjlenyomat
daltonismus,daltonizmus
Dapsonum,dapszon
dartos,bőr
de-,"El, le"
de novo,újból
Debilitas,"rendellenesség, kór"
deceleratio,lelassulás
Decessus,halál
decidua,hullóhártya
deciduus,hulladék
declinatio,elhajlás a függőleges helyzettől
declino,elgyengülés
decoctum,főzet
decoctum zittmanni fortius,zittmann erősebb főzete
decompensatio,dekompenzáció
decubitalis,elfekvési
decursus,dekurzus
decussatio pyramidum,piramispálya kereszteződése
defaecatio,széklet ürítés
defectus,hiba
defectus iodi,jódhiány
defectus septi interventricularis,Kamrai sövényhiány
déferens,levezető
defibrilláció,bizonyos esetekben (pl. újraélesztés egyes esetei) erős áramütés leadására visszatér a normál szívritmus
defloratio,szűzhártya átszakadása
deformans,eltorzító
deformatus,deformált
deformis,alaktalan
deformitas,eltorzulás
